title,company,location,link
Python Associates,Inflexi Technologies Pvt. Ltd.,Brisbane QLD,https://au.indeed.com/viewjob?jk=fc6fbb7e058690ca
Junior Developer - Python,Akuna Capital,Sydney NSW,https://au.indeed.com/viewjob?jk=a5140e5e41baea9b
"Development Internship - Python, Summer 2020/2021",Akuna Capital,Sydney NSW,https://au.indeed.com/viewjob?jk=ef0bc444790d1dea
Video Lesson Summaries – Writing Position,Zenva Pty Ltd,Remote,https://au.indeed.com/viewjob?jk=ed6cf634de3be331
Python Engineer,No Company Name,Sydney Central Business District NSW,https://au.indeed.com/viewjob?jk=b19859d0acb98307
Python Developer,Akuna Capital,Sydney NSW,https://au.indeed.com/viewjob?jk=0fc471fc6823eb8c
Python Web App Developer,Biarri,Brisbane QLD,https://au.indeed.com/viewjob?jk=6a0c50e734f90b0c
Software Engineer - Developer Efficiency (Python),Canva,Sydney NSW,https://au.indeed.com/viewjob?jk=53ee2ddb3f5c5a66
Software Engineers - Observability,Canva,Sydney NSW,https://au.indeed.com/viewjob?jk=e1a34e019319112d
Graduate Trader Programme (Sydney),Mako,Sydney NSW,https://au.indeed.com/viewjob?jk=5e3a643eee8adcbe
Python Developer,"
Cyient",Sydney NSW,https://au.indeed.com/viewjob?jk=f14fd5774b3f7b62
"Data Engineer - Python, Spark and AWS – Redshift","
ARQ Group",Australia,https://au.indeed.com/viewjob?jk=176a5de49e83f46d
Software Engineers - Cloud Reliability & Infrastructure (Python or Java),Canva,Sydney NSW,https://au.indeed.com/viewjob?jk=b33d3fe255f211fe
Consulting Analyst,Vectra,Australia,https://au.indeed.com/viewjob?jk=856ff3dfb1df014c
Python Developer,"
Dialog Information Technology",Canberra ACT,https://au.indeed.com/viewjob?jk=7f6b3e4eed1a8183
Retail Credit Specialist,"
ANZ Banking Group",Melbourne VIC,https://au.indeed.com/viewjob?jk=97358dea396cc5c7
Software Development Engineer Intern (Brisbane),"
Amazon Support Services PtyLtd",Brisbane QLD,https://au.indeed.com/viewjob?jk=c0b5e927ecada7c8
Data DevOps,"
ARQ Group",Australia,https://au.indeed.com/viewjob?jk=dbf996fd3cf22c31
Performance Monitoring and Reporting Analyst,"
ACSO",Corrimal NSW,https://au.indeed.com/viewjob?jk=72cbf5d7442e6a13
Data Scientist,"
Crown Melbourne Limited",Melbourne VIC,https://au.indeed.com/viewjob?jk=57c2d9ba5a655899
Graduate - Software Development Consultant,FDM Group,Australia,https://au.indeed.com/viewjob?jk=836628cc0cdc39df
Data Scientist (M4),FinXL,Melbourne VIC,https://au.indeed.com/viewjob?jk=b359c67c9ad50573
Data Analyst - Energy Fleet Analytics,"
Tesla",Sydney NSW,https://au.indeed.com/viewjob?jk=fbf58917843ecdd8
LABEL DATA ANALYST,Universal Music Group,Sydney NSW,https://au.indeed.com/viewjob?jk=724d03340ab7e6f4
QA Tester,"
ARQ Group",Australia,https://au.indeed.com/viewjob?jk=97c5473396878407
Junior Data Analyst,"
TabCorp Holdings",Sydney NSW,https://au.indeed.com/viewjob?jk=a914d1220a4a31b2
"Python Software Engineer - Django, AWS",Canva,Sydney NSW,https://au.indeed.com/viewjob?jk=1ab29e4d87a95a74
Portfolio Analyst,"
ANZ Banking Group",Docklands VIC,https://au.indeed.com/viewjob?jk=2e979c7eb0f517c5
Data Specialist,"
Super Retail Group",Australia,https://au.indeed.com/viewjob?jk=79a6c8eab49cd620
Credit Risk Analyst,"
ANZ Banking Group",Melbourne VIC,https://au.indeed.com/viewjob?jk=e572d2f83daf3aaa
Data Scientist - Machine Learning/ Computer Vision / NLP,"
Oracle",Melbourne VIC,https://au.indeed.com/viewjob?jk=2f0f8f9bdad6e4f5
Consultant,"
Deloitte",Melbourne VIC,https://au.indeed.com/viewjob?jk=a22babbf12c0e6b3
Data Analyst,"
Evolution Mining",Australia,https://au.indeed.com/viewjob?jk=a41e5459f83aae9e
Graduate Trader,VivCourt Trading,Sydney NSW,https://au.indeed.com/viewjob?jk=9b65812c7ca5e699
Backend Software Engineer,"
Atlassian",Sydney NSW,https://au.indeed.com/viewjob?jk=c1f0438481bda777
Product Data Analyst,"
Xero",Melbourne VIC,https://au.indeed.com/viewjob?jk=9fae7c6076acec22
Lazada SG - Data Scientist,TechSkills Accelerator,Australia,https://au.indeed.com/viewjob?jk=b4d1414ccb138fce
Azendian - Data Scientist,TechSkills Accelerator,Australia,https://au.indeed.com/viewjob?jk=3d8d3093db3cf97b
Associate Software Engineer,Vix Technology UK Limited,Perth WA,https://au.indeed.com/viewjob?jk=de4be863d32830aa
CNC Machine Operator (Python X),Ahrens Pty Ltd,Kingsford SA,https://au.indeed.com/viewjob?jk=4ee558ed4ae13666
Specialist Data Science Expires soon,"
BHP",Queensland,https://au.indeed.com/viewjob?jk=7eec8c038458385a
Python Developer,"
HAYS",Sydney Central Business District NSW,https://au.indeed.com/viewjob?jk=7a0f386f7ebb635a
Data Engineer,Arkose Labs,Brisbane QLD,https://au.indeed.com/viewjob?jk=429fd3555fd729e5
Node.JS Engineer,No Company Name,Sydney Central Business District NSW,https://au.indeed.com/viewjob?jk=60c909f783617627
Postdoc Research Fellow,"
Macquarie University",Macquarie University NSW,https://au.indeed.com/viewjob?jk=41f1c4b1cc10f3e7
QA Engineer,"
ARQ Group",Australia,https://au.indeed.com/viewjob?jk=16cc86ee6600b330
Junior Cryptocurrency Trader,Akuna Capital,Sydney NSW,https://au.indeed.com/viewjob?jk=8e66819e2a9886ed
Automation Specialists,"
AccessHQ",North Sydney NSW,https://au.indeed.com/viewjob?jk=db694ba95e2da686
Specialist Data Analyst Expires soon,"
BHP",Queensland,https://au.indeed.com/viewjob?jk=1e755d4f851bc419
Envision Digital SG - Data Scientist,TechSkills Accelerator,Australia,https://au.indeed.com/viewjob?jk=1a32229afbc91f5a
"Analyst, Data Analytics (Advanced)","
Insurance Australia Group",Pyrmont NSW,https://au.indeed.com/viewjob?jk=c061755b1e142f45
Python Developer - Trading Infrastructure Team,Akuna Capital,Sydney NSW,https://au.indeed.com/viewjob?jk=0396b5fd01d67494
Technical Business Analyst,"
Michael Page",Parramatta NSW,https://au.indeed.com/viewjob?jk=0ff76b355f87084f
Data Engineer,"
City of Whittlesea",South Morang VIC,https://au.indeed.com/viewjob?jk=51f1f66a38d9e878
Senior Risk Analyst,"
ANZ Banking Group",Melbourne VIC,https://au.indeed.com/viewjob?jk=2301f2b963b8890e
Splunk Engineer,"
Dialog Information Technology",Melbourne VIC,https://au.indeed.com/viewjob?jk=a4086ec7d38b86f1
Cloud Consulting Intern,"
AWS Australia Pty Ltd",Sydney NSW,https://au.indeed.com/viewjob?jk=3dee930a36023df0
Digital Delta - Expression of Interest,"
KPMG",Canberra ACT,https://au.indeed.com/viewjob?jk=318adb34e5854599
Applied Scientist - Intern,"
Amazon Support Services PtyLtd",Australia,https://au.indeed.com/viewjob?jk=b4b9286997ab6239
IAM(ForgeRock),"
Infosys Limited",Melbourne VIC,https://au.indeed.com/viewjob?jk=d1e277291cefd464
Software Development Engineer (Load Balancing),"
Amazon Support Services PtyLtd",Sydney NSW,https://au.indeed.com/viewjob?jk=fd07b1e7b78328c5
Software Engineer,"
Boeing RIV Site",Brisbane QLD,https://au.indeed.com/viewjob?jk=b35bb03499ccc0b8
Junior Quantitative Researcher,Akuna Capital,Sydney NSW,https://au.indeed.com/viewjob?jk=a4f2be3b8effe21a
Bioinformatician,"
Murdoch University",Murdoch WA,https://au.indeed.com/viewjob?jk=7a75420c00b22eee
Business Intelligence (BI) & Data Warehouse Developer,"
Harris Farm",Australia,https://au.indeed.com/viewjob?jk=29ea91e7ddfbd68b
Shopee SG - Data Engineer - Processing & Analysis,TechSkills Accelerator,Australia,https://au.indeed.com/viewjob?jk=36baddf244964c71
Data Analyst,"
Bank of Queensland",Newstead QLD,https://au.indeed.com/viewjob?jk=6c29a9cfa3db6d15
DevSecOps Engineer,"
Flexigroup",Adelaide SA,https://au.indeed.com/viewjob?jk=28ca7d45c4b34e4a
Solution Architect - 22 months contract,"
Reserve Bank of Australia",Sydney NSW,https://au.indeed.com/viewjob?jk=52c40003bafe521d
Test Engineer,Permaconn,Rydalmere NSW,https://au.indeed.com/viewjob?jk=befd5b91cd36af26
Quality Assurance Engineer,Feedzai,Sydney NSW,https://au.indeed.com/viewjob?jk=fcfc018f625b2666
Data Engineer,"
Sedgman Limited",Brisbane QLD,https://au.indeed.com/viewjob?jk=f7e3593a665c9914
Junior Integration Engineer - 6 month fixed term,Invetech,Melbourne VIC,https://au.indeed.com/viewjob?jk=2b4797a00ee724ec
Technology Architect,"
Infosys Limited",Melbourne VIC,https://au.indeed.com/viewjob?jk=4260fb0005e32a99
Data Analyst - Product Forensics,"
ANZ Banking Group",Melbourne VIC,https://au.indeed.com/viewjob?jk=69c2968edb844617
Lucence SG - Bioinformatician / Data Scientist,TechSkills Accelerator,Australia,https://au.indeed.com/viewjob?jk=bcd94213b1d468b4
Junior Data Analyst (Contract),Veeva Systems,Sydney NSW,https://au.indeed.com/viewjob?jk=4834571a8f62137e
Risk Analyst,Akuna Capital,Sydney NSW,https://au.indeed.com/viewjob?jk=4871a8f5c96ecdfb
Software Development Engineer in Test (SDET),"
AccessHQ",Brisbane QLD,https://au.indeed.com/viewjob?jk=e7ab2fd6a2d10ed1
GIS Technician/ Scientist,Senversa,Melbourne VIC,https://au.indeed.com/viewjob?jk=ffd236eda0df3d96
Tech Lead – Ruby on Rails / Elixir / GatsbyJS / JAMstack,Digitalent,Melbourne VIC,https://au.indeed.com/viewjob?jk=fa1fc30bf3e0c992
"Development Internship - User Interface (C#, Web) - Summer 2020/2021",Akuna Capital,Sydney NSW,https://au.indeed.com/viewjob?jk=85be7f14cf576f8e
"Trading Data Systems Engineer, Linux, Python, DevOps – Recession proof industry!",Westbury Partners,Sydney NSW,https://au.indeed.com/viewjob?jk=cac44fa36b4a3811
OSI PI Consultant,"
Infosys Limited",Perth WA,https://au.indeed.com/viewjob?jk=fff078752e546bc5
FX Trading KDB Software Engineer,"
ANZ Banking Group",Melbourne VIC,https://au.indeed.com/viewjob?jk=8873746562550eec
Natural Perils Analyst,"
Insurance Australia Group",Sydney NSW,https://au.indeed.com/viewjob?jk=566249f9fb55b233
Trading Analyst,"
TAL",Sydney NSW,https://au.indeed.com/viewjob?jk=283cca1bdebd7aff
Cloud Engineer (Adelaide or Melbourne with remote options considered),Lifi Labs,Adelaide SA,https://au.indeed.com/viewjob?jk=06f7d74e98450c9f
Data Scientist,"
Macquarie Group Limited",Sydney NSW,https://au.indeed.com/viewjob?jk=ec4a48e3bc0e1c02
NEC SG - Senior Researcher,TechSkills Accelerator,Australia,https://au.indeed.com/viewjob?jk=47e5bc120fe111d5
Data Analyst Reporter,"
Department of Premier & Cabinet",Melbourne VIC,https://au.indeed.com/viewjob?jk=102635e504271354
Engineer,"
ANZ Banking Group",Melbourne VIC,https://au.indeed.com/viewjob?jk=87149fc6024c6b70
Melbourne,Elevio,Melbourne VIC,https://au.indeed.com/viewjob?jk=79d50dfc77833b92
SQL Developer,"
Capgemini Australia",Adelaide SA,https://au.indeed.com/viewjob?jk=00f30a657bed823e
Data Scientist,"
Cancer Institute (NSW)",Sydney NSW,https://au.indeed.com/viewjob?jk=3dee254a6ab17a35
Resync SG - Electronics / Hardware Engineer (Part Time),TechSkills Accelerator,Australia,https://au.indeed.com/viewjob?jk=99549d3420f4687b
AWS Developer,Mielin Enterprise,Sydney NSW,https://au.indeed.com/viewjob?jk=11203f6d44d95e24
Graduate Software Developer,Akuna Capital,Sydney NSW,https://au.indeed.com/viewjob?jk=46572a02a7bfe483
Data Scientist - Geoscience,"
AngloGold Ashanti",Perth WA,https://au.indeed.com/viewjob?jk=39e3d0f6a46abad5
Software Architect,"
BAE Systems",Richmond VIC,https://au.indeed.com/viewjob?jk=b49d0e7e8a65ee4c
Data Scientist - Machine Learning/ Computer Vision / NLP,"
Oracle",Melbourne VIC,https://au.indeed.com/viewjob?jk=2f0f8f9bdad6e4f5
Consultant,"
Deloitte",Melbourne VIC,https://au.indeed.com/viewjob?jk=a22babbf12c0e6b3
Data Analyst,"
Evolution Mining",Australia,https://au.indeed.com/viewjob?jk=a41e5459f83aae9e
Graduate Trader,VivCourt Trading,Sydney NSW,https://au.indeed.com/viewjob?jk=9b65812c7ca5e699
Backend Software Engineer,"
Atlassian",Sydney NSW,https://au.indeed.com/viewjob?jk=c1f0438481bda777
Product Data Analyst,"
Xero",Melbourne VIC,https://au.indeed.com/viewjob?jk=9fae7c6076acec22
Lazada SG - Data Scientist,TechSkills Accelerator,Australia,https://au.indeed.com/viewjob?jk=b4d1414ccb138fce
Azendian - Data Scientist,TechSkills Accelerator,Australia,https://au.indeed.com/viewjob?jk=3d8d3093db3cf97b
Associate Software Engineer,Vix Technology UK Limited,Perth WA,https://au.indeed.com/viewjob?jk=de4be863d32830aa
CNC Machine Operator (Python X),Ahrens Pty Ltd,Kingsford SA,https://au.indeed.com/viewjob?jk=4ee558ed4ae13666
Specialist Data Science Expires soon,"
BHP",Queensland,https://au.indeed.com/viewjob?jk=7eec8c038458385a
Python Developer,"
HAYS",Sydney Central Business District NSW,https://au.indeed.com/viewjob?jk=7a0f386f7ebb635a
Data Engineer,Arkose Labs,Brisbane QLD,https://au.indeed.com/viewjob?jk=429fd3555fd729e5
Node.JS Engineer,No Company Name,Sydney Central Business District NSW,https://au.indeed.com/viewjob?jk=60c909f783617627
Postdoc Research Fellow,"
Macquarie University",Macquarie University NSW,https://au.indeed.com/viewjob?jk=41f1c4b1cc10f3e7
QA Engineer,"
ARQ Group",Australia,https://au.indeed.com/viewjob?jk=16cc86ee6600b330
Junior Cryptocurrency Trader,Akuna Capital,Sydney NSW,https://au.indeed.com/viewjob?jk=8e66819e2a9886ed
Automation Specialists,"
AccessHQ",North Sydney NSW,https://au.indeed.com/viewjob?jk=db694ba95e2da686
Specialist Data Analyst Expires soon,"
BHP",Queensland,https://au.indeed.com/viewjob?jk=1e755d4f851bc419
Envision Digital SG - Data Scientist,TechSkills Accelerator,Australia,https://au.indeed.com/viewjob?jk=1a32229afbc91f5a
"Analyst, Data Analytics (Advanced)","
Insurance Australia Group",Pyrmont NSW,https://au.indeed.com/viewjob?jk=c061755b1e142f45
Python Developer - Trading Infrastructure Team,Akuna Capital,Sydney NSW,https://au.indeed.com/viewjob?jk=0396b5fd01d67494
Technical Business Analyst,"
Michael Page",Parramatta NSW,https://au.indeed.com/viewjob?jk=0ff76b355f87084f
Data Engineer,"
City of Whittlesea",South Morang VIC,https://au.indeed.com/viewjob?jk=51f1f66a38d9e878
Senior Risk Analyst,"
ANZ Banking Group",Melbourne VIC,https://au.indeed.com/viewjob?jk=2301f2b963b8890e
Splunk Engineer,"
Dialog Information Technology",Melbourne VIC,https://au.indeed.com/viewjob?jk=a4086ec7d38b86f1
Cloud Consulting Intern,"
AWS Australia Pty Ltd",Sydney NSW,https://au.indeed.com/viewjob?jk=3dee930a36023df0
Digital Delta - Expression of Interest,"
KPMG",Canberra ACT,https://au.indeed.com/viewjob?jk=318adb34e5854599
Applied Scientist - Intern,"
Amazon Support Services PtyLtd",Australia,https://au.indeed.com/viewjob?jk=b4b9286997ab6239
IAM(ForgeRock),"
Infosys Limited",Melbourne VIC,https://au.indeed.com/viewjob?jk=d1e277291cefd464
Software Development Engineer (Load Balancing),"
Amazon Support Services PtyLtd",Sydney NSW,https://au.indeed.com/viewjob?jk=fd07b1e7b78328c5
Software Engineer,"
Boeing RIV Site",Brisbane QLD,https://au.indeed.com/viewjob?jk=b35bb03499ccc0b8
Junior Quantitative Researcher,Akuna Capital,Sydney NSW,https://au.indeed.com/viewjob?jk=a4f2be3b8effe21a
Bioinformatician,"
Murdoch University",Murdoch WA,https://au.indeed.com/viewjob?jk=7a75420c00b22eee
Business Intelligence (BI) & Data Warehouse Developer,"
Harris Farm",Australia,https://au.indeed.com/viewjob?jk=29ea91e7ddfbd68b
Shopee SG - Data Engineer - Processing & Analysis,TechSkills Accelerator,Australia,https://au.indeed.com/viewjob?jk=36baddf244964c71
Data Analyst,"
Bank of Queensland",Newstead QLD,https://au.indeed.com/viewjob?jk=6c29a9cfa3db6d15
DevSecOps Engineer,"
Flexigroup",Adelaide SA,https://au.indeed.com/viewjob?jk=28ca7d45c4b34e4a
Solution Architect - 22 months contract,"
Reserve Bank of Australia",Sydney NSW,https://au.indeed.com/viewjob?jk=52c40003bafe521d
Test Engineer,Permaconn,Rydalmere NSW,https://au.indeed.com/viewjob?jk=befd5b91cd36af26
Quality Assurance Engineer,Feedzai,Sydney NSW,https://au.indeed.com/viewjob?jk=fcfc018f625b2666
Data Engineer,"
Sedgman Limited",Brisbane QLD,https://au.indeed.com/viewjob?jk=f7e3593a665c9914
Junior Integration Engineer - 6 month fixed term,Invetech,Melbourne VIC,https://au.indeed.com/viewjob?jk=2b4797a00ee724ec
Technology Architect,"
Infosys Limited",Melbourne VIC,https://au.indeed.com/viewjob?jk=4260fb0005e32a99
Data Analyst - Product Forensics,"
ANZ Banking Group",Melbourne VIC,https://au.indeed.com/viewjob?jk=69c2968edb844617
Lucence SG - Bioinformatician / Data Scientist,TechSkills Accelerator,Australia,https://au.indeed.com/viewjob?jk=bcd94213b1d468b4
Junior Data Analyst (Contract),Veeva Systems,Sydney NSW,https://au.indeed.com/viewjob?jk=4834571a8f62137e
Risk Analyst,Akuna Capital,Sydney NSW,https://au.indeed.com/viewjob?jk=4871a8f5c96ecdfb
Software Development Engineer in Test (SDET),"
AccessHQ",Brisbane QLD,https://au.indeed.com/viewjob?jk=e7ab2fd6a2d10ed1
GIS Technician/ Scientist,Senversa,Melbourne VIC,https://au.indeed.com/viewjob?jk=ffd236eda0df3d96
Tech Lead – Ruby on Rails / Elixir / GatsbyJS / JAMstack,Digitalent,Melbourne VIC,https://au.indeed.com/viewjob?jk=fa1fc30bf3e0c992
"Development Internship - User Interface (C#, Web) - Summer 2020/2021",Akuna Capital,Sydney NSW,https://au.indeed.com/viewjob?jk=85be7f14cf576f8e
"Trading Data Systems Engineer, Linux, Python, DevOps – Recession proof industry!",Westbury Partners,Sydney NSW,https://au.indeed.com/viewjob?jk=cac44fa36b4a3811
OSI PI Consultant,"
Infosys Limited",Perth WA,https://au.indeed.com/viewjob?jk=fff078752e546bc5
FX Trading KDB Software Engineer,"
ANZ Banking Group",Melbourne VIC,https://au.indeed.com/viewjob?jk=8873746562550eec
Natural Perils Analyst,"
Insurance Australia Group",Sydney NSW,https://au.indeed.com/viewjob?jk=566249f9fb55b233
Trading Analyst,"
TAL",Sydney NSW,https://au.indeed.com/viewjob?jk=283cca1bdebd7aff
Cloud Engineer (Adelaide or Melbourne with remote options considered),Lifi Labs,Adelaide SA,https://au.indeed.com/viewjob?jk=06f7d74e98450c9f
Data Scientist,"
Macquarie Group Limited",Sydney NSW,https://au.indeed.com/viewjob?jk=ec4a48e3bc0e1c02
NEC SG - Senior Researcher,TechSkills Accelerator,Australia,https://au.indeed.com/viewjob?jk=47e5bc120fe111d5
Quantitative Researcher,Akuna Capital,Sydney NSW,https://au.indeed.com/viewjob?jk=a0fd81cd28212e51
Software Development Engineer - AWS Redshift,"
AWS Australia Pty Ltd",Sydney NSW,https://au.indeed.com/viewjob?jk=4395564a68a2ab5c
Experienced Futures Trader,Akuna Capital,Sydney NSW,https://au.indeed.com/viewjob?jk=07c2a069eeee940c
Jewel Paymentech SG - Lead Data Scientist,TechSkills Accelerator,Australia,https://au.indeed.com/viewjob?jk=2c6cad8a176687f0
Jewel Paymentech SG - Senior Software Developer,TechSkills Accelerator,Australia,https://au.indeed.com/viewjob?jk=5455672abfa0fa3c
Senior Data Analyst,"
Singtel",Macquarie Park NSW,https://au.indeed.com/viewjob?jk=20af2f26f3388a59
Full Stack Web Developer,Neuromersiv,Eveleigh NSW,https://au.indeed.com/viewjob?jk=fdc76e0a974424ff
Full Stack Developer,S2M,Sydney NSW,https://au.indeed.com/viewjob?jk=53ce8c499f8f3797
